image_id,pred_box,pred_score,gt_box,iou,breed
n02086646_672,"Box(x_min=128, y_min=32, x_max=224, y_max=128)",1.0000,"Box(x_min=15, y_min=8, x_max=222, y_max=249)",0.1802,Blenheim_spaniel
n02085936_10646,"Box(x_min=80, y_min=120, x_max=240, y_max=280)",1.0000,"Box(x_min=16, y_min=2, x_max=281, y_max=294)",0.3308,Maltese_dog
n02113712_335,"Box(x_min=0, y_min=224, x_max=128, y_max=352)",1.0000,"Box(x_min=13, y_min=91, x_max=338, y_max=498)",0.1099,miniature_poodle
n02093647_2951,"Box(x_min=192, y_min=64, x_max=288, y_max=160)",1.0000,"Box(x_min=204, y_min=79, x_max=336, y_max=268)",0.2487,Bedlington_terrier
n02109047_6042,"Box(x_min=187, y_min=0, x_max=500, y_max=312)",1.0000,"Box(x_min=64, y_min=63, x_max=365, y_max=374)",0.3016,Great_Dane
n02106030_14999,"Box(x_min=288, y_min=192, x_max=416, y_max=320)",1.0000,"Box(x_min=36, y_min=61, x_max=448, y_max=438)",0.1055,collie
n02106166_2837,"Box(x_min=200, y_min=160, x_max=360, y_max=320)",1.0000,"Box(x_min=56, y_min=25, x_max=468, y_max=496)",0.1319,Border_collie
n02092002_6518,"Box(x_min=100, y_min=0, x_max=400, y_max=300)",1.0000,"Box(x_min=76, y_min=53, x_max=372, y_max=374)",0.5702,Scottish_deerhound
n02097130_5907,"Box(x_min=160, y_min=120, x_max=360, y_max=320)",1.0000,"Box(x_min=252, y_min=112, x_max=399, y_max=263)",0.3303,giant_schnauzer
n02097658_6202,"Box(x_min=160, y_min=64, x_max=256, y_max=160)",1.0000,"Box(x_min=33, y_min=5, x_max=371, y_max=477)",0.0578,silky_terrier
n02089973_533,"Box(x_min=120, y_min=0, x_max=240, y_max=120)",0.9999,"Box(x_min=3, y_min=21, x_max=244, y_max=335)",0.1519,English_foxhound
n02098105_3377,"Box(x_min=64, y_min=128, x_max=224, y_max=288)",1.0000,"Box(x_min=65, y_min=87, x_max=430, y_max=326)",0.2911,soft-coated_wheaten_terrier
n02102318_8482,"Box(x_min=200, y_min=0, x_max=450, y_max=250)",1.0000,"Box(x_min=168, y_min=10, x_max=481, y_max=342)",0.5638,cocker_spaniel
n02086240_30,"Box(x_min=192, y_min=128, x_max=320, y_max=256)",1.0000,"Box(x_min=2, y_min=49, x_max=499, y_max=374)",0.1014,Shih-Tzu
n02108551_4309,"Box(x_min=32, y_min=0, x_max=160, y_max=128)",0.9999,"Box(x_min=23, y_min=29, x_max=179, y_max=121)",0.6211,Tibetan_mastiff
n02105505_3050,"Box(x_min=160, y_min=96, x_max=288, y_max=224)",1.0000,"Box(x_min=0, y_min=27, x_max=338, y_max=470)",0.1094,komondor
n02089867_91,"Box(x_min=120, y_min=80, x_max=240, y_max=200)",1.0000,"Box(x_min=0, y_min=106, x_max=273, y_max=495)",0.1032,Walker_hound
n02094114_699,"Box(x_min=192, y_min=64, x_max=320, y_max=192)",1.0000,"Box(x_min=94, y_min=27, x_max=366, y_max=374)",0.1736,Norfolk_terrier
n02110958_12781,"Box(x_min=128, y_min=96, x_max=224, y_max=192)",1.0000,"Box(x_min=41, y_min=86, x_max=282, y_max=235)",0.2566,pug
n02098286_5357,"Box(x_min=128, y_min=320, x_max=224, y_max=416)",1.0000,"Box(x_min=81, y_min=48, x_max=311, y_max=432)",0.1043,West_Highland_white_terrier
n02093428_2821,"Box(x_min=160, y_min=192, x_max=288, y_max=320)",1.0000,"Box(x_min=48, y_min=1, x_max=366, y_max=491)",0.1051,American_Staffordshire_terrier
n02086910_7949,"Box(x_min=78, y_min=78, x_max=390, y_max=390)",1.0000,"Box(x_min=73, y_min=23, x_max=485, y_max=399)",0.6284,papillon
n02102040_639,"Box(x_min=150, y_min=0, x_max=300, y_max=150)",1.0000,"Box(x_min=28, y_min=28, x_max=325, y_max=302)",0.2138,English_springer
n02085620_3651,"Box(x_min=192, y_min=256, x_max=288, y_max=352)",1.0000,"Box(x_min=152, y_min=216, x_max=275, y_max=370)",0.3947,Chihuahua
n02113799_1572,"Box(x_min=224, y_min=32, x_max=416, y_max=224)",1.0000,"Box(x_min=103, y_min=48, x_max=376, y_max=206)",0.4290,standard_poodle
n02099267_4098,"Box(x_min=0, y_min=0, x_max=300, y_max=300)",1.0000,"Box(x_min=47, y_min=30, x_max=404, y_max=495)",0.3639,flat-coated_retriever
n02088466_7032,"Box(x_min=150, y_min=100, x_max=300, y_max=250)",1.0000,"Box(x_min=0, y_min=60, x_max=370, y_max=430)",0.1644,bloodhound
n02097298_2957,"Box(x_min=240, y_min=80, x_max=480, y_max=320)",1.0000,"Box(x_min=189, y_min=11, x_max=489, y_max=316)",0.6126,Scotch_terrier
n02096051_5884,"Box(x_min=280, y_min=120, x_max=400, y_max=240)",1.0000,"Box(x_min=40, y_min=106, x_max=364, y_max=286)",0.1609,Airedale
n02096585_12168,"Box(x_min=0, y_min=78, x_max=390, y_max=468)",1.0000,"Box(x_min=0, y_min=57, x_max=435, y_max=498)",0.7929,Boston_bull
n02108000_1757,"Box(x_min=64, y_min=32, x_max=160, y_max=128)",1.0000,"Box(x_min=74, y_min=32, x_max=234, y_max=145)",0.4336,EntleBucher
n02085936_11744,"Box(x_min=0, y_min=0, x_max=312, y_max=312)",1.0000,"Box(x_min=0, y_min=92, x_max=203, y_max=374)",0.4063,Maltese_dog
n02090622_4797,"Box(x_min=0, y_min=0, x_max=160, y_max=160)",0.9991,"Box(x_min=19, y_min=16, x_max=267, y_max=234)",0.3420,borzoi
n02116738_5683,"Box(x_min=96, y_min=32, x_max=224, y_max=160)",0.9999,"Box(x_min=144, y_min=58, x_max=362, y_max=314)",0.1274,African_hunting_dog
n02110185_14479,"Box(x_min=150, y_min=100, x_max=400, y_max=350)",1.0000,"Box(x_min=111, y_min=37, x_max=497, y_max=374)",0.4805,Siberian_husky
n02093754_3725,"Box(x_min=100, y_min=0, x_max=250, y_max=150)",1.0000,"Box(x_min=108, y_min=0, x_max=243, y_max=206)",0.6737,Border_terrier
n02091244_2742,"Box(x_min=0, y_min=0, x_max=160, y_max=160)",0.9996,"Box(x_min=14, y_min=7, x_max=294, y_max=290)",0.2708,Ibizan_hound
n02105641_7945,"Box(x_min=160, y_min=64, x_max=256, y_max=160)",1.0000,"Box(x_min=100, y_min=58, x_max=252, y_max=260)",0.2841,Old_English_sheepdog
n02099267_4506,"Box(x_min=128, y_min=128, x_max=288, y_max=288)",1.0000,"Box(x_min=175, y_min=112, x_max=306, y_max=289)",0.5888,flat-coated_retriever
n02105505_4090,"Box(x_min=64, y_min=64, x_max=256, y_max=256)",1.0000,"Box(x_min=48, y_min=47, x_max=410, y_max=446)",0.2552,komondor
n02091467_780,"Box(x_min=120, y_min=0, x_max=240, y_max=120)",1.0000,"Box(x_min=39, y_min=7, x_max=249, y_max=242)",0.2702,Norwegian_elkhound
n02095889_2299,"Box(x_min=64, y_min=0, x_max=192, y_max=128)",0.9997,"Box(x_min=1, y_min=11, x_max=199, y_max=139)",0.5598,Sealyham_terrier
n02107574_426,"Box(x_min=100, y_min=100, x_max=250, y_max=250)",1.0000,"Box(x_min=66, y_min=127, x_max=217, y_max=417)",0.2773,Greater_Swiss_Mountain_dog
n02109047_32010,"Box(x_min=32, y_min=0, x_max=224, y_max=192)",1.0000,"Box(x_min=66, y_min=46, x_max=518, y_max=456)",0.1159,Great_Dane
n02101556_7987,"Box(x_min=320, y_min=160, x_max=480, y_max=320)",1.0000,"Box(x_min=76, y_min=22, x_max=492, y_max=374)",0.1748,clumber
n02112018_6227,"Box(x_min=224, y_min=160, x_max=352, y_max=288)",1.0000,"Box(x_min=0, y_min=0, x_max=499, y_max=283)",0.1110,Pomeranian
n02093859_2286,"Box(x_min=280, y_min=160, x_max=480, y_max=360)",1.0000,"Box(x_min=0, y_min=84, x_max=467, y_max=374)",0.2710,Kerry_blue_terrier
n02113978_3723,"Box(x_min=50, y_min=0, x_max=300, y_max=250)",1.0000,"Box(x_min=11, y_min=20, x_max=330, y_max=294)",0.6223,Mexican_hairless
n02105855_6802,"Box(x_min=64, y_min=128, x_max=160, y_max=224)",1.0000,"Box(x_min=3, y_min=33, x_max=370, y_max=487)",0.0553,Shetland_sheepdog
n02110185_12678,"Box(x_min=256, y_min=96, x_max=384, y_max=224)",1.0000,"Box(x_min=127, y_min=132, x_max=330, y_max=283)",0.1692,Siberian_husky
n02085936_1288,"Box(x_min=240, y_min=40, x_max=400, y_max=200)",1.0000,"Box(x_min=124, y_min=15, x_max=383, y_max=333)",0.2689,Maltese_dog
n02100236_5538,"Box(x_min=120, y_min=80, x_max=360, y_max=320)",1.0000,"Box(x_min=152, y_min=91, x_max=330, y_max=374)",0.6065,German_short-haired_pointer
n02098413_8468,"Box(x_min=64, y_min=96, x_max=192, y_max=224)",1.0000,"Box(x_min=73, y_min=44, x_max=392, y_max=332)",0.1637,Lhasa
n02091134_10618,"Box(x_min=40, y_min=0, x_max=200, y_max=160)",1.0000,"Box(x_min=52, y_min=42, x_max=435, y_max=355)",0.1364,whippet
n02088364_13944,"Box(x_min=128, y_min=128, x_max=288, y_max=288)",1.0000,"Box(x_min=57, y_min=41, x_max=377, y_max=408)",0.2180,beagle
n02093256_911,"Box(x_min=150, y_min=0, x_max=350, y_max=200)",1.0000,"Box(x_min=55, y_min=21, x_max=371, y_max=331)",0.3504,Staffordshire_bullterrier
n02110806_1902,"Box(x_min=384, y_min=224, x_max=544, y_max=384)",1.0000,"Box(x_min=468, y_min=122, x_max=1333, y_max=942)",0.0168,basenji
n02100735_6707,"Box(x_min=300, y_min=50, x_max=600, y_max=350)",1.0000,"Box(x_min=86, y_min=60, x_max=560, y_max=478)",0.3544,English_setter
n02091831_9731,"Box(x_min=160, y_min=80, x_max=400, y_max=320)",1.0000,"Box(x_min=220, y_min=136, x_max=461, y_max=312)",0.4636,Saluki
n02113624_7986,"Box(x_min=160, y_min=96, x_max=288, y_max=224)",1.0000,"Box(x_min=5, y_min=0, x_max=493, y_max=332)",0.1011,toy_poodle
n02110806_3702,"Box(x_min=128, y_min=64, x_max=224, y_max=160)",1.0000,"Box(x_min=175, y_min=46, x_max=393, y_max=327)",0.0715,basenji
n02107683_6596,"Box(x_min=128, y_min=96, x_max=256, y_max=224)",1.0000,"Box(x_min=161, y_min=5, x_max=499, y_max=332)",0.1060,Bernese_mountain_dog
n02096051_3823,"Box(x_min=200, y_min=120, x_max=400, y_max=320)",1.0000,"Box(x_min=124, y_min=51, x_max=328, y_max=315)",0.3623,Airedale
n02108000_1111,"Box(x_min=32, y_min=0, x_max=160, y_max=128)",1.0000,"Box(x_min=0, y_min=8, x_max=215, y_max=258)",0.2804,EntleBucher
n02116738_6283,"Box(x_min=160, y_min=128, x_max=256, y_max=224)",1.0000,"Box(x_min=47, y_min=61, x_max=493, y_max=316)",0.0810,African_hunting_dog
n02085936_7537,"Box(x_min=128, y_min=128, x_max=288, y_max=288)",1.0000,"Box(x_min=37, y_min=139, x_max=324, y_max=498)",0.2275,Maltese_dog
n02091032_4210,"Box(x_min=160, y_min=64, x_max=352, y_max=256)",1.0000,"Box(x_min=148, y_min=65, x_max=277, y_max=445)",0.3517,Italian_greyhound
n02088238_11318,"Box(x_min=0, y_min=0, x_max=312, y_max=312)",0.9999,"Box(x_min=0, y_min=89, x_max=384, y_max=374)",0.5071,basset
n02096177_1123,"Box(x_min=128, y_min=128, x_max=288, y_max=288)",1.0000,"Box(x_min=157, y_min=108, x_max=334, y_max=269)",0.5185,cairn
n02107312_6823,"Box(x_min=0, y_min=97, x_max=390, y_max=488)",1.0000,"Box(x_min=63, y_min=30, x_max=396, y_max=498)",0.7084,miniature_pinscher
n02102973_457,"Box(x_min=32, y_min=0, x_max=192, y_max=160)",0.9938,"Box(x_min=19, y_min=13, x_max=231, y_max=188)",0.6003,Irish_water_spaniel
n02107312_6598,"Box(x_min=96, y_min=160, x_max=288, y_max=352)",1.0000,"Box(x_min=70, y_min=24, x_max=499, y_max=374)",0.2455,miniature_pinscher
n02094114_61,"Box(x_min=128, y_min=64, x_max=320, y_max=256)",1.0000,"Box(x_min=148, y_min=91, x_max=320, y_max=281)",0.6894,Norfolk_terrier
n02101556_8093,"Box(x_min=160, y_min=80, x_max=320, y_max=240)",1.0000,"Box(x_min=131, y_min=65, x_max=316, y_max=298)",0.5706,clumber
n02106030_19433,"Box(x_min=160, y_min=160, x_max=256, y_max=256)",1.0000,"Box(x_min=203, y_min=210, x_max=252, y_max=308)",0.1916,collie
n02096177_143,"Box(x_min=0, y_min=32, x_max=160, y_max=192)",1.0000,"Box(x_min=9, y_min=9, x_max=245, y_max=196)",0.5302,cairn
n02088466_10545,"Box(x_min=0, y_min=0, x_max=312, y_max=312)",1.0000,"Box(x_min=0, y_min=57, x_max=499, y_max=314)",0.5448,bloodhound
n02093991_247,"Box(x_min=64, y_min=160, x_max=192, y_max=288)",1.0000,"Box(x_min=35, y_min=43, x_max=373, y_max=249)",0.1527,Irish_terrier
n02101006_338,"Box(x_min=160, y_min=120, x_max=400, y_max=360)",1.0000,"Box(x_min=130, y_min=60, x_max=373, y_max=374)",0.6175,Gordon_setter
n02115641_2636,"Box(x_min=0, y_min=96, x_max=96, y_max=192)",1.0000,"Box(x_min=17, y_min=5, x_max=202, y_max=229)",0.1761,dingo
n02094114_252,"Box(x_min=128, y_min=128, x_max=256, y_max=256)",1.0000,"Box(x_min=165, y_min=69, x_max=499, y_max=332)",0.1258,Norfolk_terrier
n02112137_9598,"Box(x_min=160, y_min=96, x_max=288, y_max=224)",1.0000,"Box(x_min=80, y_min=36, x_max=424, y_max=374)",0.1409,chow
n02093428_4514,"Box(x_min=125, y_min=0, x_max=500, y_max=375)",1.0000,"Box(x_min=128, y_min=1, x_max=458, y_max=374)",0.8753,American_Staffordshire_terrier
n02088094_11570,"Box(x_min=288, y_min=64, x_max=384, y_max=160)",1.0000,"Box(x_min=229, y_min=51, x_max=412, y_max=457)",0.1240,Afghan_hound
n02100583_4228,"Box(x_min=80, y_min=160, x_max=320, y_max=400)",1.0000,"Box(x_min=108, y_min=113, x_max=331, y_max=450)",0.6215,vizsla
n02094433_2328,"Box(x_min=0, y_min=244, x_max=488, y_max=732)",1.0000,"Box(x_min=3, y_min=0, x_max=760, y_max=1422)",0.2196,Yorkshire_terrier
n02096437_811,"Box(x_min=96, y_min=224, x_max=192, y_max=320)",1.0000,"Box(x_min=104, y_min=0, x_max=418, y_max=296)",0.0661,Dandie_Dinmont
n02105412_3031,"Box(x_min=40, y_min=240, x_max=240, y_max=440)",1.0000,"Box(x_min=0, y_min=0, x_max=373, y_max=442)",0.2426,kelpie
n02102973_2850,"Box(x_min=64, y_min=0, x_max=160, y_max=96)",1.0000,"Box(x_min=6, y_min=1, x_max=149, y_max=169)",0.3209,Irish_water_spaniel
n02097474_2348,"Box(x_min=40, y_min=160, x_max=280, y_max=400)",1.0000,"Box(x_min=76, y_min=176, x_max=235, y_max=463)",0.5267,Tibetan_terrier
n02112350_8391,"Box(x_min=64, y_min=128, x_max=192, y_max=256)",1.0000,"Box(x_min=56, y_min=70, x_max=472, y_max=373)",0.1300,keeshond
n02093256_6969,"Box(x_min=50, y_min=50, x_max=300, y_max=300)",1.0000,"Box(x_min=97, y_min=140, x_max=273, y_max=392)",0.3579,Staffordshire_bullterrier
n02101006_3379,"Box(x_min=80, y_min=40, x_max=280, y_max=240)",1.0000,"Box(x_min=27, y_min=1, x_max=364, y_max=283)",0.4209,Gordon_setter
n02115913_4055,"Box(x_min=288, y_min=128, x_max=384, y_max=224)",1.0000,"Box(x_min=172, y_min=99, x_max=357, y_max=314)",0.1563,dhole
n02113978_3866,"Box(x_min=96, y_min=96, x_max=288, y_max=288)",1.0000,"Box(x_min=0, y_min=7, x_max=266, y_max=383)",0.3131,Mexican_hairless
n02093754_218,"Box(x_min=100, y_min=0, x_max=350, y_max=250)",1.0000,"Box(x_min=29, y_min=0, x_max=472, y_max=374)",0.3772,Border_terrier
n02100877_6030,"Box(x_min=240, y_min=160, x_max=440, y_max=360)",1.0000,"Box(x_min=2, y_min=31, x_max=383, y_max=406)",0.1854,Irish_setter
n02097298_8427,"Box(x_min=80, y_min=160, x_max=320, y_max=400)",1.0000,"Box(x_min=0, y_min=0, x_max=277, y_max=498)",0.3189,Scotch_terrier
n02097298_2671,"Box(x_min=160, y_min=128, x_max=256, y_max=224)",1.0000,"Box(x_min=75, y_min=61, x_max=260, y_max=287)",0.2204,Scotch_terrier
n02093428_2461,"Box(x_min=0, y_min=62, x_max=375, y_max=437)",0.9999,"Box(x_min=33, y_min=68, x_max=316, y_max=498)",0.6614,American_Staffordshire_terrier
n02094258_2672,"Box(x_min=160, y_min=128, x_max=288, y_max=256)",1.0000,"Box(x_min=110, y_min=30, x_max=366, y_max=349)",0.2006,Norwich_terrier
n02112018_1463,"Box(x_min=240, y_min=40, x_max=360, y_max=160)",1.0000,"Box(x_min=36, y_min=0, x_max=448, y_max=307)",0.1138,Pomeranian
n02096051_2517,"Box(x_min=160, y_min=96, x_max=256, y_max=192)",1.0000,"Box(x_min=49, y_min=63, x_max=489, y_max=341)",0.0753,Airedale
n02101006_1297,"Box(x_min=100, y_min=50, x_max=400, y_max=350)",1.0000,"Box(x_min=202, y_min=45, x_max=313, y_max=256)",0.2525,Gordon_setter
n02116738_7578,"Box(x_min=64, y_min=64, x_max=192, y_max=192)",1.0000,"Box(x_min=3, y_min=0, x_max=497, y_max=366)",0.0906,African_hunting_dog
n02089973_525,"Box(x_min=0, y_min=0, x_max=192, y_max=192)",1.0000,"Box(x_min=10, y_min=0, x_max=224, y_max=224)",0.7009,English_foxhound
n02095570_95,"Box(x_min=128, y_min=32, x_max=224, y_max=128)",1.0000,"Box(x_min=2, y_min=1, x_max=271, y_max=276)",0.1246,Lakeland_terrier
n02107908_4931,"Box(x_min=160, y_min=64, x_max=352, y_max=256)",1.0000,"Box(x_min=83, y_min=55, x_max=391, y_max=332)",0.4321,Appenzeller
n02109961_5772,"Box(x_min=250, y_min=100, x_max=400, y_max=250)",1.0000,"Box(x_min=42, y_min=17, x_max=468, y_max=332)",0.1677,Eskimo_dog
n02100877_427,"Box(x_min=160, y_min=120, x_max=360, y_max=320)",1.0000,"Box(x_min=143, y_min=101, x_max=294, y_max=346)",0.5339,Irish_setter
n02108551_1689,"Box(x_min=128, y_min=0, x_max=256, y_max=128)",1.0000,"Box(x_min=106, y_min=34, x_max=313, y_max=374)",0.1610,Tibetan_mastiff
n02111500_7324,"Box(x_min=160, y_min=64, x_max=288, y_max=192)",1.0000,"Box(x_min=1, y_min=21, x_max=429, y_max=332)",0.1231,Great_Pyrenees
n02098286_771,"Box(x_min=128, y_min=96, x_max=224, y_max=192)",1.0000,"Box(x_min=107, y_min=9, x_max=344, y_max=283)",0.1419,West_Highland_white_terrier
n02108422_751,"Box(x_min=160, y_min=80, x_max=400, y_max=320)",0.9999,"Box(x_min=0, y_min=20, x_max=360, y_max=331)",0.3949,bull_mastiff
n02106550_4397,"Box(x_min=250, y_min=100, x_max=450, y_max=300)",1.0000,"Box(x_min=141, y_min=112, x_max=407, y_max=317)",0.4540,Rottweiler
n02100583_2251,"Box(x_min=80, y_min=120, x_max=280, y_max=320)",1.0000,"Box(x_min=0, y_min=43, x_max=433, y_max=297)",0.3089,vizsla
n02100236_5350,"Box(x_min=0, y_min=50, x_max=250, y_max=300)",1.0000,"Box(x_min=62, y_min=63, x_max=360, y_max=498)",0.3019,German_short-haired_pointer
n02093754_7025,"Box(x_min=156, y_min=78, x_max=390, y_max=312)",1.0000,"Box(x_min=131, y_min=24, x_max=342, y_max=366)",0.5219,Border_terrier
n02090721_3900,"Box(x_min=160, y_min=96, x_max=288, y_max=224)",1.0000,"Box(x_min=158, y_min=113, x_max=387, y_max=295)",0.3240,Irish_wolfhound
n02101006_3667,"Box(x_min=120, y_min=80, x_max=320, y_max=280)",1.0000,"Box(x_min=144, y_min=25, x_max=447, y_max=290)",0.4137,Gordon_setter
n02098105_196,"Box(x_min=96, y_min=160, x_max=256, y_max=320)",1.0000,"Box(x_min=50, y_min=1, x_max=373, y_max=498)",0.1595,soft-coated_wheaten_terrier
n02096294_1564,"Box(x_min=50, y_min=50, x_max=350, y_max=350)",1.0000,"Box(x_min=37, y_min=26, x_max=409, y_max=320)",0.6843,Australian_terrier
n02095314_261,"Box(x_min=0, y_min=120, x_max=120, y_max=240)",1.0000,"Box(x_min=56, y_min=147, x_max=325, y_max=383)",0.0827,wire-haired_fox_terrier
n02091244_1525,"Box(x_min=128, y_min=128, x_max=288, y_max=288)",0.9999,"Box(x_min=83, y_min=120, x_max=240, y_max=374)",0.3768,Ibizan_hound
n02106662_3953,"Box(x_min=240, y_min=120, x_max=480, y_max=360)",1.0000,"Box(x_min=156, y_min=32, x_max=470, y_max=478)",0.3875,German_shepherd
n02113624_2258,"Box(x_min=128, y_min=32, x_max=256, y_max=160)",1.0000,"Box(x_min=128, y_min=48, x_max=266, y_max=230)",0.5278,toy_poodle
